terr_id;n_in_mask;n_eligible;n_keep;n_removed;quantile;area_in_mask_ha;area_eligible_ha;area_keep_ha;area_removed_ha;prop_keep_vs_mask_pct;prop_keep_vs_eligible_pct;prop_eligible_vs_mask_pct
01;242652;241030;119548;121482;q50;2426,52;2410,3;1195,48;1214,82;49,26726340603;49,5988051279924;99,3315530059509
02;1096019;1096019;540427;555592;q50;10960,19;10960,19;5404,27;5555,92;49,3081780516579;49,3081780516579;100
03;53956;52312;25578;26734;q50;539,56;523,12;255,78;267,34;47,4052932018682;48,8950909925065;96,9530728741938
04;222970;221592;109873;111719;q50;2229,7;2215,92;1098,73;1117,19;49,2770327846796;49,5834687172822;99,3819796385164
05;859348;858223;417475;440748;q50;8593,48;8582,23;4174,75;4407,48;48,5804353998613;48,6441169719292;99,8690867960361
06;453406;453395;220494;232901;q50;4534,06;4533,95;2204,94;2329,01;48,6305871558824;48,6317670022828;99,9975739182984
07;58148;57617;28466;29151;q50;581,48;576,17;284,66;291,51;48,9543922404898;49,4055573875766;99,086812960033
08;305872;304613;147194;157419;q50;3058,72;3046,13;1471,94;1574,19;48,1227441544175;48,3216409017343;99,5883899147356
09;74629;71086;35248;35838;q50;746,29;710,86;352,48;358,38;47,230969194281;49,5850097065526;95,2525157780487
10;1004269;1003700;495761;507939;q50;10042,69;10037;4957,61;5079,39;49,3653592812284;49,3933446248879;99,9433418735419
11;60683;59500;29579;29921;q50;606,83;595;295,79;299,21;48,743470164626;49,7126050420168;98,0505248586919
12;114767;113532;56368;57164;q50;1147,67;1135,32;563,68;571,64;49,115163766588;49,6494380438995;98,9239066979184
13;412932;412515;204454;208061;q50;4129,32;4125,15;2044,54;2080,61;49,5127527050459;49,5628037768324;99,8990148499026
14;478882;478247;234002;244245;q50;4788,82;4782,47;2340,02;2442,45;48,8642296014467;48,9291098532767;99,867399484633
15;88865;85854;42478;43376;q50;888,65;858,54;424,78;433,76;47,8005964102853;49,4770191254921;96,6117143982445
16;511089;510440;251813;258627;q50;5110,89;5104,4;2518,13;2586,27;49,2698923279507;49,33253663506;99,8730162457028
17;613774;613637;301757;311880;q50;6137,74;6136,37;3017,57;3118,8;49,164187469655;49,1751638183486;99,9776790805736
17';935318;935284;453062;482222;q50;9353,18;9352,84;4530,62;4822,22;48,4393543158584;48,4411152120639;99,9963648726957
18;835236;833594;409329;424265;q50;8352,36;8335,94;4093,29;4242,65;49,007585879919;49,1041202311917;99,8034088568979
19;1058536;1057942;517583;540359;q50;10585,36;10579,42;5175,83;5403,59;48,8961169010785;48,923570479289;99,9438847615953
20;1582195;1582184;781888;800296;q50;15821,95;15821,84;7818,88;8002,96;49,4179288899282;49,4182724638854;99,9993047633193
21;725541;723697;353855;369842;q50;7255,41;7236,97;3538,55;3698,42;48,7711928064713;48,895463156542;99,7458448247584
22;882195;882161;435710;446451;q50;8821,95;8821,61;4357,1;4464,51;49,3893073526828;49,3912109014114;99,9961459767965
23;308997;307504;151669;155835;q50;3089,97;3075,04;1516,69;1558,35;49,084295316783;49,3226104375878;99,5168237879332
24;126706;124149;61740;62409;q50;1267,06;1241,49;617,4;624,09;48,7269742553628;49,7305656912259;97,9819424494499
25;1025776;1025747;507120;518627;q50;10257,76;10257,47;5071,2;5186,27;49,4376939994697;49,4390917058495;99,9971728720501
26;210827;208747;102979;105768;q50;2108,27;2087,47;1029,79;1057,68;48,8452617548986;49,331966447422;99,0134090984551
27;161615;161067;78795;82272;q50;1616,15;1610,67;787,95;822,72;48,7547566748136;48,9206355119298;99,6609225628809
01;242652;241030;71340;169690;q70;2426,52;2410,3;713,4;1696,9;29,4001285791998;29,5979753557648;99,3315530059509
02;1096019;1096019;321527;774492;q70;10960,19;10960,19;3215,27;7744,92;29,3358965492387;29,3358965492387;100
03;53956;52312;15261;37051;q70;539,56;523,12;152,61;370,51;28,2841574616354;29,1730386909313;96,9530728741938
04;222970;221592;64803;156789;q70;2229,7;2215,92;648,03;1567,89;29,063551150379;29,2442867973573;99,3819796385164
05;859348;858223;253639;604584;q70;8593,48;8582,23;2536,39;6045,84;29,5152836801854;29,5539737340994;99,8690867960361
06;453406;453395;132058;321337;q70;4534,06;4533,95;1320,58;3213,37;29,1257724864691;29,1264791186493;99,9975739182984
