terr_id;n_in_mask;n_keep;n_eligible;quantile;area_in_mask_ha;area_keep_ha;area_eligible_ha;pct_keep_vs_mask;pct_keep_vs_eligible;pct_eligible_vs_mask
01;242652;119548;241030;q50;2426,52;1195,48;2410,3;49,26726340603;49,5988051279924;99,3315530059509
02;1096019;540427;1096019;q50;10960,19;5404,27;10960,19;49,3081780516579;49,3081780516579;100
03;53956;25578;52312;q50;539,56;255,78;523,12;47,4052932018682;48,8950909925065;96,9530728741938
04;222970;109873;221592;q50;2229,7;1098,73;2215,92;49,2770327846796;49,5834687172822;99,3819796385164
05;859348;417475;858223;q50;8593,48;4174,75;8582,23;48,5804353998613;48,6441169719292;99,8690867960361
06;453406;220494;453395;q50;4534,06;2204,94;4533,95;48,6305871558824;48,6317670022828;99,9975739182984
07;58148;28466;57617;q50;581,48;284,66;576,17;48,9543922404898;49,4055573875766;99,086812960033
08;305872;147194;304613;q50;3058,72;1471,94;3046,13;48,1227441544175;48,3216409017343;99,5883899147356
09;74629;35248;71086;q50;746,29;352,48;710,86;47,230969194281;49,5850097065526;95,2525157780487
10;1004269;495761;1003700;q50;10042,69;4957,61;10037;49,3653592812284;49,3933446248879;99,9433418735419
11;60683;29579;59500;q50;606,83;295,79;595;48,743470164626;49,7126050420168;98,0505248586919
12;114767;56368;113532;q50;1147,67;563,68;1135,32;49,115163766588;49,6494380438995;98,9239066979184
13;412932;204454;412515;q50;4129,32;2044,54;4125,15;49,5127527050459;49,5628037768324;99,8990148499026
14;478882;234002;478247;q50;4788,82;2340,02;4782,47;48,8642296014467;48,9291098532767;99,867399484633
15;88865;42478;85854;q50;888,65;424,78;858,54;47,8005964102853;49,4770191254921;96,6117143982445
16;511089;251813;510440;q50;5110,89;2518,13;5104,4;49,2698923279507;49,33253663506;99,8730162457028
17;613774;301757;613637;q50;6137,74;3017,57;6136,37;49,164187469655;49,1751638183486;99,9776790805736
17';935318;453062;935284;q50;9353,18;4530,62;9352,84;48,4393543158584;48,4411152120639;99,9963648726957
18;835236;409329;833594;q50;8352,36;4093,29;8335,94;49,007585879919;49,1041202311917;99,8034088568979
19;1058536;517583;1057942;q50;10585,36;5175,83;10579,42;48,8961169010785;48,923570479289;99,9438847615953
20;1582195;781888;1582184;q50;15821,95;7818,88;15821,84;49,4179288899282;49,4182724638854;99,9993047633193
21;725541;353855;723697;q50;7255,41;3538,55;7236,97;48,7711928064713;48,895463156542;99,7458448247584
22;882195;435710;882161;q50;8821,95;4357,1;8821,61;49,3893073526828;49,3912109014114;99,9961459767965
23;308997;151669;307504;q50;3089,97;1516,69;3075,04;49,084295316783;49,3226104375878;99,5168237879332
24;126706;61740;124149;q50;1267,06;617,4;1241,49;48,7269742553628;49,7305656912259;97,9819424494499
25;1025776;507120;1025747;q50;10257,76;5071,2;10257,47;49,4376939994697;49,4390917058495;99,9971728720501
26;210827;102979;208747;q50;2108,27;1029,79;2087,47;48,8452617548986;49,331966447422;99,0134090984551
27;161615;78795;161067;q50;1616,15;787,95;1610,67;48,7547566748136;48,9206355119298;99,6609225628809
