key;seuil;n_pix;n_before;n_after;terr_num;compo;prop_keep
101;2740;64496;64496;32040;1;1;49,6774993798065
103;2750;58547;58547;29069;1;3;49,6507079782056
106;3130;38819;38819;19320;1;6;49,7694427986295
108;2610;39165;39165;19237;1;8;49,1178348014809
201;2820;368572;368572;182261;2;1;49,4505822471593
202;2270;16954;16954;8376;2;2;49,4042703786717
203;2770;307920;307920;150619;2;3;48,9149779163419
206;3090;196067;196067;96875;2;6;49,4091305523112
208;2590;28670;28670;14235;2;8;49,6512033484479
301;2440;2026;2026;1006;3;1;49,6544916090819
303;2510;15583;15583;7775;3;3;49,8941153821472
306;2670;4055;4055;1961;3;6;48,3600493218249
401;2520;11906;11906;5941;4;1;49,8992104821099
403;2630;48339;48339;24040;4;3;49,7321003744389
406;2560;5087;5087;2534;4;6;49,8132494594063
501;2030;21961;21961;10861;5;1;49,4558535585811
503;2300;184445;184445;91849;5;3;49,7975006099379
506;2600;19381;19381;9636;5;6;49,7187967597131
601;2590;61259;61259;30607;6;1;49,9632707030804
602;2600;4391;4391;2129;6;2;48,4855386016853
603;2580;232780;232780;112837;6;3;48,4736661225191
606;2740;45946;45946;22674;6;6;49,3492360597223
701;2520;9988;9988;4965;7;1;49,7096515818983
703;2590;22799;22799;11033;7;3;48,3924733540945
706;2670;7985;7985;3950;7;6;49,4677520350658
801;2590;52277;52277;25662;8;1;49,088509287067
803;2620;203714;203714;100737;8;3;49,4502096075871
806;2730;45896;45896;22463;8;6;48,9432630294579
901;1980;15783;15783;7683;9;1;48,6789583729329
903;2270;402400;402400;197597;9;3;49,1046222664016
906;2770;10626;10626;5311;9;6;49,9811782420478
1001;2370;13312;13312;6490;10;1;48,7530048076923
1003;2400;724386;724386;349025;10;3;48,1821846363679
1006;2240;7130;7130;3539;10;6;49,6353436185133
1101;2360;9335;9335;4638;11;1;49,6839850026781
1103;2450;119157;119157;58519;11;3;49,1108369629984
1106;2700;199287;199287;98328;11;6;49,3398967318491
1201;2390;12314;12314;6156;12;1;49,9918791619295
1203;2580;87862;87862;43424;12;3;49,4229587307368
1206;2700;772368;772368;377284;12;6;48,8476995421872
1301;2540;2631;2631;1302;13;1;49,4868871151653
1303;2550;19436;19436;9414;13;3;48,4358921588804
1401;2270;42283;42283;20840;14;1;49,2869474729797
1402;2290;12099;12099;6027;14;2;49,814034217704
1403;2410;654067;654067;326817;14;3;49,9668994155033
1406;2780;213293;213293;103748;14;6;48,6410712025242
1501;2170;48880;48880;24303;15;1;49,7197217675941
1502;2020;6025;6025;2967;15;2;49,2448132780083
1503;2430;277574;277574;134951;15;3;48,6180261840086
1506;2790;255293;255293;124087;15;6;48,6057197024595
1601;2240;22888;22888;11356;16;1;49,6155190492835
1602;2130;9750;9750;4866;16;2;49,9076923076923
1603;2510;114824;114824;56273;16;3;49,0080470981676
1606;2710;479894;479894;236400;16;6;49,2608784439897
1701;1940;8648;8648;4314;17;1;49,8843663274746
1702;1830;7526;7526;3727;17;2;49,5216582513952
1703;2330;18781;18781;9292;17;3;49,4755337841436
1706;2600;210549;210549;103670;17;6;49,2379446114681
1801;2500;15307;15307;7636;18;1;49,885673221402
1803;2630;42023;42023;20984;18;3;49,9345596459082
1806;2780;57045;57045;28361;18;6;49,7168901744237
1901;2460;26599;26599;13086;19;1;49,1973382457987
1902;2540;5275;5275;2623;19;2;49,7251184834123
1903;2660;148440;148440;72455;19;3;48,8109673942334
1906;2770;550951;550951;272994;19;6;49,5495969696035
2001;2710;18861;18861;9373;20;1;49,6951381156885
2003;2760;37427;37427;18136;20;3;48,4569962861036
2006;2900;83168;83168;41224;20;6;49,567141208157
2101;2690;15627;15627;7631;21;1;48,8321494848659
2103;2730;11231;11231;5476;21;3;48,7579022348856
2106;2830;85801;85801;42057;21;6;49,0169112248109
2201;2570;28236;28236;13928;22;1;49,3271001558294
2203;2600;111956;111956;55491;22;3;49,5650076815892
2206;2510;7023;7023;3482;22;6;49,5799515876406
2301;2540;103814;103814;50763;23;1;48,8980291675497
2303;2560;572738;572738;277686;23;3;48,4839490307959
2306;2460;30163;30163;14978;23;6;49,656864370255
2401;2320;23677;23677;11565;24;1;48,8448705494784
2403;2420;340652;340652;165100;24;3;48,4658830712868
2406;2280;19140;19140;9433;24;6;49,2842215256008
2501;2340;4830;4830;2394;25;1;49,5652173913044
2503;2430;35688;35688;17691;25;3;49,5712844653665
2506;2290;4736;4736;2355;25;6;49,7255067567568
2601;2420;37856;37856;18431;26;1;48,6871301775148
2603;2450;234481;234481;112932;26;3;48,1625376896209
2606;2320;22503;22503;11074;26;6;49,2112162822735
2701;2480;7537;7537;3700;27;1;49,091150325063
2703;2470;23507;23507;11710;27;3;49,8149487386736
2801;2370;33425;33425;16661;28;1;49,8459237097981
2802;2310;2293;2293;1124;28;2;49,0187527256869
2803;2450;134191;134191;65406;28;3;48,7409736867599
2806;2660;23193;23193;11345;28;6;48,915621092571
