key;seuil;n_pix;n_before;n_after;terr_num;topo;prop_keep
11;3150;17195;17195;8519;1;1;49,5434719395173
13;3010;22808;22808;11363;1;3;49,8202385128025
21;3040;87264;87264;42998;2;1;49,273469013568
23;2920;79677;79677;39677;2;3;49,7973066255005
24;2980;10895;10895;5386;2;4;49,4355208811381
31;2520;14580;14580;7243;3;1;49,6776406035665
33;2360;23256;23256;11594;3;3;49,8538011695907
41;2710;23441;23441;11616;4;1;49,5541999061474
43;2520;24759;24759;12237;4;3;49,4244517145281
51;2540;98221;98221;48515;5;1;49,3937141751764
53;2330;83416;83416;41050;5;3;49,2111825069531
54;2550;5091;5091;2543;5;4;49,9508937340405
61;2680;80623;80623;39569;6;1;49,0790469220942
63;2520;47285;47285;23263;6;3;49,1974199006027
64;2750;5963;5963;2923;6;4;49,018950192856
71;2600;17400;17400;8690;7;1;49,9425287356322
73;2480;27682;27682;13840;7;3;49,9963875442526
81;2600;113776;113776;56191;8;1;49,3873927717621
83;2490;88382;88382;43629;8;3;49,3641239166346
84;2620;6395;6395;3131;8;4;48,9601250977326
91;2450;82556;82556;40681;9;1;49,2768544987645
93;2340;95477;95477;47154;9;3;49,387810676917
94;2590;6795;6795;3331;9;4;49,0213392200147
101;2440;82563;82563;41216;10;1;49,9206666424427
103;2390;86951;86951;42446;10;3;48,8159998159883
104;2460;20942;20942;10346;10;4;49,4031133607105
111;2580;235576;235576;114725;11;1;48,6997826603729
113;2520;257195;257195;126607;11;3;49,2260736017419
114;2560;13044;13044;6512;11;4;49,9233363998773
121;2690;104763;104763;50894;12;1;48,580128480475
123;2640;75534;75534;37331;12;3;49,4227764980009
124;2570;5101;5101;2494;12;4;48,892374044305
131;2650;12876;12876;6331;13;1;49,1689965827897
133;2500;17369;17369;8531;13;3;49,1162415798261
141;2610;334666;334666;164640;14;1;49,1953171221457
143;2490;309239;309239;151837;14;3;49,1002105167848
144;2590;16537;16537;7979;14;4;48,2493801777832
151;2550;78261;78261;39019;15;1;49,8575280152311
153;2480;57664;57664;28528;15;3;49,472807991121
161;2690;130143;130143;64863;16;1;49,8397916138402
163;2520;117883;117883;58588;16;3;49,7001263965118
164;2600;6779;6779;3364;16;4;49,6238383242366
171;2670;33185;33185;16276;17;1;49,0462558384813
173;2610;28815;28815;14390;17;3;49,9392677424952
181;2850;5930;5930;2922;18;1;49,2748735244519
183;2730;3844;3844;1837;18;3;47,7887617065557
191;2850;153539;153539;76638;19;1;49,9143540077765
193;2830;133215;133215;65538;19;3;49,1971624817025
194;2740;7728;7728;3786;19;4;48,9906832298137
201;2980;40605;40605;20037;20;1;49,3461396379756
203;2980;28686;28686;14209;20;3;49,532873178554
211;3080;37850;37850;18461;21;1;48,774108322325
213;2830;10558;10558;5170;21;3;48,9676075014207
221;2630;35219;35219;17561;22;1;49,8622902410631
223;2500;36703;36703;18198;22;3;49,5817780562897
224;2840;2455;2455;1213;22;4;49,4093686354379
231;2580;74511;74511;36215;23;1;48,6035618901907
233;2470;68025;68025;33352;23;3;49,0290334435869
234;2580;8972;8972;4481;23;4;49,9442710655372
241;2430;26541;26541;13224;24;1;49,8247993670171
243;2350;33351;33351;16204;24;3;48,5862492878774
244;2460;10034;10034;4968;24;4;49,5116603547937
251;2580;6042;6042;2930;25;1;48,4938761999338
253;2450;6321;6321;3096;25;3;48,9795918367347
261;2580;2883;2883;1393;26;1;48,3177245924384
263;2530;3824;3824;1831;26;3;47,8817991631799
264;2555;3066;3066;1533;26;4;50
271;2620;15912;15912;7927;27;1;49,8177476118653
273;2460;24130;24130;11911;27;3;49,361790302528
281;2580;432388;432388;215439;28;1;49,8253883086487
283;2450;367828;367828;180618;28;3;49,1039290102983
284;2670;10382;10382;5168;28;4;49,7784627239453
