key;seuil;n_pix
101;3120;64496
103;3060;58547
106;3470;38819
108;3000;39165
201;3130;368572
202;2500;16954
203;3050;307920
206;3440;196067
208;3280;28670
301;2830;2026
303;2700;15583
306;2870;4055
401;2760;11906
403;2840;48339
406;2880;5087
501;2370;21961
503;2580;184445
506;2850;19381
601;2870;61259
602;2750;4391
603;2830;232780
606;3130;45946
701;2810;9988
703;2840;22799
706;2980;7985
801;2880;52277
803;2860;203714
806;3000;45896
901;2290;15783
903;2440;402400
906;3110;10626
1001;2630;13312
1003;2570;724386
1006;2540;7130
1101;2700;9335
1103;2670;119157
1106;2860;199287
1201;2670;12314
1203;2720;87862
1206;2860;772368
1301;2760;2631
1303;2730;19436
1401;2500;42283
1402;2480;12099
1403;2630;654067
1406;2980;213293
1501;2360;48880
1502;2300;6025
1503;2610;277574
1506;2990;255293
1601;2530;22888
1602;2370;9750
1603;2700;114824
1606;2920;479894
1701;2320;8648
1702;2120;7526
1703;2540;18781
1706;2810;210549
1801;2750;15307
1803;2830;42023
1806;3010;57045
1901;2760;26599
1902;2790;5275
1903;2850;148440
1906;3010;550951
2001;2940;18861
2003;2980;37427
2006;3120;83168
2101;2900;15627
2103;2950;11231
2106;3040;85801
2201;2810;28236
2203;2800;111956
2206;2820;7023
2301;2790;103814
2303;2750;572738
2306;2710;30163
2401;2520;23677
2403;2580;340652
2406;2540;19140
2501;2500;4830
2503;2600;35688
2506;2540;4736
2601;2590;37856
2603;2610;234481
2606;2590;22503
2701;2750;7537
2703;2690;23507
2801;2710;33425
2802;2580;2293
2803;2700;134191
2806;3030;23193
