key;seuil;n_pix
11;2510;106294
12;2410;1278291
13;2550;126605
14;2470;43236
21;2590;353352
22;2560;3211118
23;2520;328650
24;2550;91101
31;2370;60158
32;2360;87708
33;2210;65376
34;2360;6515
41;2560;65455
42;2510;176645
43;2410;55377
44;2370;8996
51;2480;470279
52;2240;1062605
53;2290;377111
54;2450;64553
61;2620;157857
62;2560;805905
63;2470;103759
64;2630;20500
71;2410;78506
72;2400;241312
73;2320;104872
74;2400;15081
81;2590;448993
82;2620;1449950
83;2470;355657
84;2560;66411
91;2470;347912
92;2240;1415340
93;2330;345729
94;2590;56629
101;2430;118608
102;2370;1188785
103;2370;115334
104;2410;42387
111;2580;788257
112;2540;1022524
113;2500;713659
114;2430;116575
121;2610;290253
122;2630;2147756
123;2580;220353
124;2270;71125
131;2570;20809
132;2490;39687
133;2400;27311
134;2390;6550
141;2570;1244824
142;2470;3350962
143;2500;999153
144;2420;195737
151;2590;268956
152;2530;2681030
153;2520;183134
154;2220;49905
161;2440;1127488
162;2410;5861359
163;2420;871737
164;2230;193027
171;2580;332794
172;2400;4803133
173;2590;269118
174;2110;64745
181;2650;28702
182;2480;343007
183;2590;20449
184;2420;9363
191;2780;344836
192;2670;1516730
193;2760;271784
194;2430;58968
201;2790;106995
202;2680;291492
203;2760;76187
204;2390;16523
211;3060;47395
212;2800;139684
213;2770;14605
221;2290;117556
222;2370;443557
223;2220;100798
224;2290;22350
231;2520;186400
232;2530;1406008
233;2390;155483
234;2470;49150
241;2440;50259
242;2410;508187
243;2350;55213
244;2450;18181
251;2540;20098
252;2390;87547
253;2410;14508
254;2410;4652
261;2630;7329
262;2460;449418
263;2560;7265
264;2530;8984
271;2260;105559
272;2130;310651
273;2170;109766
274;2300;23236
281;2560;1202493
282;2380;822258
283;2390;979265
284;2440;122681
