key;seuil;n_pix
11;3470;17195
13;3350;22808
21;3370;87264
23;3260;79677
24;3280;10895
31;2740;14580
33;2580;23256
41;2950;23441
43;2740;24759
51;2800;98221
53;2570;83416
54;2700;5091
61;2910;80623
63;2710;47285
64;2910;5963
71;2870;17400
73;2770;27682
81;2830;113776
83;2700;88382
84;2870;6395
91;2670;82556
93;2570;95477
94;2800;6795
101;2610;82563
103;2540;86951
104;2630;20942
111;2780;235576
113;2720;257195
114;2730;13044
121;2860;104763
123;2800;75534
124;2760;5101
131;2840;12876
133;2720;17369
141;2850;334666
143;2720;309239
144;2790;16537
151;2750;78261
153;2660;57664
161;2900;130143
163;2740;117883
164;2830;6779
171;2860;33185
173;2840;28815
181;3120;5930
183;2890;3844
191;3090;153539
193;3060;133215
194;2980;7728
201;3170;40605
203;3140;28686
211;3260;37850
213;3020;10558
221;2850;35219
223;2710;36703
224;3050;2455
231;2760;74511
233;2660;68025
234;2790;8972
241;2580;26541
243;2500;33351
244;2620;10034
251;2770;6042
253;2680;6321
261;2700;2883
263;2640;3824
264;2680;3066
271;2880;15912
273;2690;24130
281;2810;432388
283;2660;367828
284;2910;10382
