"IGN";"NPL";"cdom";"essmaj_mature_40_code";"typologie_mature_simplifiee";"fa_mask";"hdom_mean_m";"hdom_median_m";"n_pix_hdom"
3078;37;224,954510800779;"3-100%";"Hetraie";1;36,2214283716111;36,6000003814697;42
3178;218;238;"1-75%;5-13%";"Chenaie";1;33,3341455692198;33,2999992370605;41
3256;75;253,854075485616;"3-100%";"Hetraie";1;33,5269239865817;33,7999992370605;26
3256;252;77;"13-100%";"Autres peuplements feuillus";0;18,79200050354;18,2000007629395;25
3256;294;276,70289320548;"3-44%;5-22%";"Autres peuplements feuillus";0;34,8837828249545;35,0999984741211;37
3278;18;146,929751681281;"16-50%;5-26%";"Erabliere";0;25,2722223599752;25,3999996185303;36
3278;317;262;"1-64%;5-36%";"Chenaie";0;32,2478261201278;33;23
3556;75;182;"1-100%";"Chenaie";0;22,4486484527588;22,7000007629395;37
3556;98;82;"11-100%";"Autres peuplements feuillus";0;20,6478259874427;20,6000003814697;23
3556;176;214;"4-66%;11-34%";"Erabliere";1;29,2461542960925;29,7000007629395;39
3734;18;277;"3-74%;4-26%";"Hetraie";1;31,7175001144409;32;40
3734;151;238,525823848649;"5-81%;24-19%";"Frenaie";1;33,538236393648;33,6499996185303;34
3734;231;232,972381347145;"5-50%;24-25%";"Frenaie";1;34,2928559893653;33,5999984741211;42
3734;305;184,983036759754;"3-100%";"Hetraie";0;30,6189186508591;30,6000003814697;37
3778;58;322,771692964164;"10-52%;3-28%";"Autres peuplements feuillus";0;32,855171992861;33;29
3778;183;272,106934272775;"3-69%;2-31%";"Hetraie";1;29,2512192609834;29,8999996185303;41
3778;221;291;"3-100%";"Hetraie";0;35,0599997202555;35,2999992370605;30
3812;6;329;"3-100%";"Hetraie";1;36,3524995803833;35,5;40
3812;8;116;"1-99%;5-1%";"Chenaie";0;26,8709678649902;24,8999996185303;31
3812;58;268,49069968929;"3-68%;15-31%";"Hetraie";1;28,5343746542931;31,8999996185303;32
3834;31;256,98243792032;"3-81%;1-19%";"Hetraie";1;33,1926838944598;32,9000015258789;41
3878;54;103;"28-100%";"Autres peuplements feuillus";0;20,1682925805813;20,6000003814697;41
3878;67;73;"3-100%";"Hetraie";1;13,9853660536975;13,5;41
3878;122;287,480608738931;"5-40%;1-36%";"Autres feuillus nobles";1;32,038095383417;32,5;42
3878;141;281,897207702955;"3-100%";"Hetraie";1;35,2825005531311;35,2999992370605;40
3878;145;213,805433980822;"15-58%;1-42%";"Autres peuplements feuillus";0;20,9000002698201;20,2000007629395;41
3878;166;255,897389383985;"1-68%;11-31%";"Chenaie";1;29,3428567068917;29,7999992370605;35
3912;231;311,327846603323;"3-60%;2-40%";"Hetraie";1;36,4902433069741;37,2999992370605;41
3912;235;132,967572330137;"5-51%;4-26%";"Frenaie";0;21,2093750834465;20,7999992370605;32
3912;237;133,912189601602;"15-73%;1-27%";"Autres peuplements feuillus";1;23,8285714104062;23,4500007629395;42
3934;33;196,826869579644;"15-74%;5-26%";"Autres peuplements feuillus";1;28,9883723591649;29,5;43
3934;162;233,968716914647;"3-100%";"Hetraie";1;35,6585360736382;37;41
3934;181;366,271410429584;"3-100%";"Hetraie";1;38,2368423060367;38,5;38
3934;197;274;"1-100%";"Chenaie";0;27,2238096963792;28,7000007629395;42
3934;202;247;"3-100%";"Hetraie";0;29,6966672897339;29,2000007629395;30
3956;33;265,50826176897;"24-69%;5-31%";"Autres peuplements feuillus";1;37,6268282634456;38,0999984741211;41
3956;111;232,898158576261;"3-78%;1-22%";"Hetraie";1;31,3205126737937;31,7999992370605;39
3956;113;238;"1-100%";"Chenaie";0;28,7114291054862;30,1000003814697;35
3956;128;144,875716062151;"3-100%";"Hetraie";1;32,5904763085502;32,3999996185303;42
3956;145;137,964875840641;"3-50%;11-50%";"Hetraie";1;25,2157896945351;24,8999996185303;38
3956;221;266;"3-81%;1-19%";"Hetraie";0;21,9782606207806;21,5;23
3978;18;236,889525388579;"5-77%;44-23%";"Frenaie";1;31,6809518904913;31,6000003814697;42
3978;242;225,959263430504;"1-100%";"Chenaie";0;32,7952381315685;32,5;42
3978;261;204,98243792032;"3-100%";"Hetraie";0;28,8902445072081;28,7000007629395;41
3978;277;219;"1-99%;44-1%";"Chenaie";0;29,9405407261204;30,7000007629395;37
3978;292;205,736568804805;"3-100%";"Hetraie";1;31,8690472103301;32,0999984741211;42
4012;86;188,173543713316;"10-61%;28-39%";"Autres peuplements feuillus";0;26,172972911113;26,1000003814697;37
4012;132;254;"3-100%";"Hetraie";1;33,039535433747;36;43
4012;191;163,833206269521;"7-59%;5-22%";"Autres feuillus nobles";0;21,8090907010165;21,5;33
4012;214;54;"27-100%";"Autres peuplements feuillus";0;19,7023808615548;19,2999992370605;42
4034;132;190;"7-50%;15-28%";"Autres feuillus nobles";1;28,9761904761905;30,5;42
4034;311;158,930893723489;"5-77%;4-23%";"Frenaie";0;27,8860462543576;28,5;43
4056;48;298;"3-85%;14-15%";"Hetraie";0;32,9071427299863;33,5;42
4056;88;218,560948008009;"4-54%;5-46%";"Erabliere";0;26,374999666214;28,3999996185303;40
4056;284;210,78922014589;"24-44%;5-30%";"Autres peuplements feuillus";0;26,6999998092651;26,7999992370605;36
4056;288;176,558955753594;"3-60%;16-22%";"Hetraie";1;29,4174999237061;30;40
4078;31;258,682844024026;"1-99%;7-1%";"Chenaie";0;25,4073169987376;27,1000003814697;41
4078;33;317,43697490851;"1-81%;4-19%";"Chenaie";0;28,6214287167504;28,5;42
4134;65;162;"21-99%;41-1%";"Autres peuplements feuillus";0;23,1454547535289;21,2000007629395;22
4156;98;158,912189601602;"5-100%";"Frenaie";0;26,7612905809956;27,3999996185303;31
4156;214;185;"1-100%";"Chenaie";0;24,97027067236;25,7000007629395;37
4178;157;181,724364806164;"1-100%";"Chenaie";0;20,27560978401;20,1000003814697;41
4178;214;148;"1-100%";"Chenaie";0;23,3500000953674;23,1000003814697;40
4178;258;241;"1-48%;15-22%";"Autres peuplements feuillus";1;25,95952410925;25,8999996185303;42
4178;317;254,929886894521;"1-61%;3-39%";"Chenaie";1;24,4777779049344;24,2000007629395;27
4234;12;133;"11-100%";"Autres peuplements feuillus";0;17,2707322283489;18,2000007629395;41
4234;145;84;"15-100%";"Autres peuplements feuillus";1;23,2902438931349;18,7000007629395;41
4234;147;209;"1-100%";"Chenaie";1;28,4249997615814;28,8999996185303;40
4234;183;268,894118788034;"3-55%;1-45%";"Hetraie";1;26,3902437628769;26,6000003814697;41
4256;77;31;"11-100%";"Autres peuplements feuillus";1;14,0975610453908;14,5;41
4256;96;250,771692964164;"3-58%;1-26%";"Hetraie";1;29,6720929256705;29,1000003814697;43
4256;98;286,660735195072;"3-87%;1-13%";"Hetraie";1;27,1785717464629;26,9500007629395;42
4256;113;222,824576375009;"3-100%";"Hetraie";1;28,3349997520447;28,5;40
4256;151;123;"11-100%";"Autres peuplements feuillus";1;22,6170732451648;21,2000007629395;41
4256;172;256;"1-100%";"Chenaie";0;23,7232556010402;24,3999996185303;43
4256;178;155,668576165737;"1-60%;11-40%";"Chenaie";1;23,2292679577339;23,2999992370605;41
4278;92;110;"7-100%";"Autres feuillus nobles";1;27,3499994277954;27,3499994277954;14
4278;96;148;"11-36%;1-36%";"Autres peuplements feuillus";1;21,0595237641107;22,6499996185303;42
4278;176;219;"1-52%;7-26%";"Chenaie";1;20,9149996757507;21,1000003814697;40
4278;256;82;"3-100%";"Hetraie";0;23,6585367714486;23,2000007629395;41
4278;258;106;"11-100%";"Autres peuplements feuillus";1;24,8951223885141;24,6000003814697;41
4312;145;140,929751681281;"13-74%;11-26%";"Autres peuplements feuillus";1;25,5292684043326;25;41
4312;147;151;"4-77%;7-23%";"Erabliere";1;26,5205129965758;27,2000007629395;39
4312;204;237,650487089763;"1-99%;11-1%";"Chenaie";1;26,1942857469831;26,1000003814697;35
4312;227;236,924184667964;"3-50%;1-50%";"Hetraie";1;27,3048780022598;27,3999996185303;41
4312;258;74;"1-99%;11-1%";"Chenaie";1;20,9024389778695;21,7999992370605;41
4312;305;182,806817123524;"1-84%;13-15%";"Chenaie";1;25,7452382587251;25,3999996185303;42
4334;6;243,779477876797;"1-87%;11-13%";"Chenaie";1;27,5142855871291;27,2999992370605;42
4334;8;142,792860103586;"11-47%;4-31%";"Autres peuplements feuillus";1;31,057575861613;32,5999984741211;33
4334;77;165,7657647254;"1-99%;11-1%";"Chenaie";1;23,5390245391101;23,2000007629395;41
4356;33;90;"1-100%";"Chenaie";1;24,8799997965495;23,7999992370605;30
4356;92;143;"13-100%";"Autres peuplements feuillus";0;24,9926826663134;25,8999996185303;41
4356;147;179;"1-79%;14-21%";"Chenaie";1;25,6071427663167;25,3999996185303;42
4356;155;137,830367597536;"1-76%;13-22%";"Chenaie";0;24,8731710852646;25,5;41
4356;168;245,875716062152;"3-65%;1-35%";"Hetraie";1;24,7060605829412;24,7000007629395;33
4356;183;258;"1-100%";"Chenaie";0;32,3360000610352;33;25
4356;227;184;"1-100%";"Chenaie";1;28,6292684601574;28,6000003814697;41
