"typologie_mature_simplifiee";"q";"quantile";"n_avant";"n_apres";"ha_avant";"ha_apres";"pct_surface"
"Autres feuillus nobles";0,05;"q05";16;7;800;350;43,75
"Autres feuillus nobles";0,1;"q10";16;7;800;350;43,75
"Autres feuillus nobles";0,25;"q25";16;5;800;250;31,25
"Autres feuillus nobles";0,5;"q50";16;2;800;100;12,5
"Autres feuillus nobles";0,75;"q75";16;2;800;100;12,5
"Autres peuplements feuillus";0,05;"q05";59;24;2950;1200;40,6779661016949
"Autres peuplements feuillus";0,1;"q10";59;22;2950;1100;37,2881355932203
"Autres peuplements feuillus";0,25;"q25";59;15;2950;750;25,4237288135593
"Autres peuplements feuillus";0,5;"q50";59;6;2950;300;10,1694915254237
"Autres peuplements feuillus";0,75;"q75";59;5;2950;250;8,47457627118644
"Chenaie";0,05;"q05";427;285;21350;14250;66,7447306791569
"Chenaie";0,1;"q10";427;197;21350;9850;46,135831381733
"Chenaie";0,25;"q25";427;85;21350;4250;19,9063231850117
"Chenaie";0,5;"q50";427;44;21350;2200;10,3044496487119
"Chenaie";0,75;"q75";427;19;21350;950;4,44964871194379
"Erabliere";0,05;"q05";10;5;500;250;50
"Erabliere";0,1;"q10";10;4;500;200;40
"Erabliere";0,25;"q25";10;4;500;200;40
"Erabliere";0,5;"q50";10;1;500;50;10
"Erabliere";0,75;"q75";10;0;500;0;0
"Frenaie";0,05;"q05";26;17;1300;850;65,3846153846154
"Frenaie";0,1;"q10";26;17;1300;850;65,3846153846154
"Frenaie";0,25;"q25";26;14;1300;700;53,8461538461538
"Frenaie";0,5;"q50";26;13;1300;650;50
"Frenaie";0,75;"q75";26;1;1300;50;3,84615384615385
"Hetraie";0,05;"q05";182;66;9100;3300;36,2637362637363
"Hetraie";0,1;"q10";182;58;9100;2900;31,8681318681319
"Hetraie";0,25;"q25";182;31;9100;1550;17,032967032967
"Hetraie";0,5;"q50";182;18;9100;900;9,89010989010989
"Hetraie";0,75;"q75";182;9;9100;450;4,94505494505495
