"id_ogf";"id_ue";"hdom_mean_m";"hdom_median_m";"n_pix";"typologie"
44;1;31,8250000476837;30,8999996185303;40;"Hetraie"
44;2;27,5500001453218;27,1000003814697;42;"Hetraie"
44;3;29,2999997820173;30,7000007629395;42;"Hetraie"
44;4;30,4219513869867;31,2000007629395;41;"Hetraie"
44;5;31,6538463494717;32,5;39;"Autres feuillus nobles"
44;6;25,2487804598925;25,6000003814697;41;"Erabliere"
44;7;28,5511629858682;29,1000003814697;43;"Autres peuplements feuillus"
99;214;NA;NA;0;NA
99;215;NA;NA;0;NA
99;2047;NA;NA;0;NA
65;1;29,1658540120939;29,5;41;"Hetraie"
65;2;29,7658534631497;29,3999996185303;41;"Hetraie"
65;3;26,1600005626678;25,7000007629395;40;"Chenaie"
65;4;27,4878050641316;28,1000003814697;41;"Chenaie"
65;5;25,7431817921725;26;44;"Hetraie"
65;6;24,9674998283386;25;40;"Hetraie"
65;7;27,7785715375628;28;42;"Autres peuplements feuillus"
65;8;24,6585363527624;24,1000003814697;41;"Chenaie"
65;9;28,0949997425079;28,2999992370605;40;"Autres feuillus nobles"
64;1;22,5025000572205;22,1000003814697;40;"Chenaie"
64;2;21,0146341091249;20,2000007629395;41;"Autres peuplements feuillus"
64;3;23,280487665316;23,2999992370605;41;"Chenaie"
64;4;25,4307695046449;25,1000003814697;39;"Chenaie"
64;5;23,0361108250088;23,3999996185303;36;"Chenaie"
66;1;24,4950001239777;24,3999996185303;40;"Hetraie"
66;2;24,1781250834465;23,8999996185303;32;"Hetraie"
66;3;24,2038462712215;22,8999996185303;26;"Hetraie"
66;4;24,6581396945687;24,2000007629395;43;"Hetraie"
62;1;27,9463418169719;28,6000003814697;41;"Chenaie"
62;2;25,6512192051585;25,8999996185303;41;"Chenaie"
62;3;28,1780485757967;27,8999996185303;41;"Hetraie"
62;4;28,1609751073326;28,3999996185303;41;"Chenaie"
62;5;27,2333332942082;27,1000003814697;39;"Chenaie"
62;6;30,4853655652302;30,8999996185303;41;"Chenaie"
62;7;29,3071429842994;29;42;"Chenaie"
62;8;28,7738092513311;28,7999992370605;42;"Chenaie"
62;9;28,6512196703655;29,6000003814697;41;"Chenaie"
31;1;26,2461536603096;28,7999992370605;39;"Chenaie"
31;2;28,6121949451726;29,2999992370605;41;"Hetraie"
31;3;29,283332779294;30,7999992370605;42;"Autres peuplements feuillus"
31;4;29,1214285350981;29;42;"Chenaie"
31;5;27,8292683392036;28;41;"Chenaie"
31;6;28,0317070658614;28,7999992370605;41;"Chenaie"
31;7;26,5809521448045;26,2999992370605;42;"Chenaie"
14;1;28,1512192516792;27,3999996185303;41;"Hetraie"
14;2;32,0243908021508;32,2000007629395;41;"Hetraie"
14;3;34,1333327520461;33,5999984741211;42;"Hetraie"
14;4;32,6790693859721;32,5999984741211;43;"Hetraie"
14;5;29,8119049526396;29,8500003814697;42;"Hetraie"
14;6;29,5900000095367;29,7999992370605;40;"Autres feuillus nobles"
14;7;31,4761904761905;31;42;"Hetraie"
14;8;28,7073170731707;28,2000007629395;41;"Hetraie"
14;9;28,0585363434582;27,7999992370605;41;"Hetraie"
15;1;31,4487799202524;31,3999996185303;41;"Hetraie"
15;2;31,3857138497489;31,1999998092651;42;"Autres feuillus nobles"
15;3;32,8071425301688;32,7999992370605;42;"Autres feuillus nobles"
15;4;31,5804879258319;32,2999992370605;41;"Hetraie"
14;10;34,0190477825346;33,2999992370605;42;"Autres feuillus nobles"
14;11;34,5738089879354;35,7000007629395;42;"Hetraie"
53;1;31,5170730497779;31,3999996185303;41;"Chenaie"
53;2;29,4714281445458;29,8999996185303;42;"Chenaie"
53;3;34,8804877676615;35,2999992370605;41;"Frenaie"
53;4;35,3651163855264;35,0999984741211;43;"Hetraie"
20;1;29,8428569521223;30,1000003814697;42;"Erabliere"
20;2;29,0642855962118;28,5;42;"Autres peuplements feuillus"
20;3;33,2475004673004;33,9000015258789;40;"Frenaie"
20;4;30,9238090515137;31,3000001907349;42;"Frenaie"
5;1;27,5829264012779;28,7999992370605;41;"Chenaie"
5;2;26,3560976633211;26,1000003814697;41;"Autres feuillus nobles"
5;3;27,9050000667572;27,5;40;"Chenaie"
5;4;29,480487870007;28,7999992370605;41;"Hetraie"
5;5;24,0292680786877;23,3999996185303;41;"Chenaie"
5;6;26,0487802086807;26,2999992370605;41;"Chenaie"
5;8;27,3804877211408;27;41;"Chenaie"
5;9;27,2452378500076;25,3999996185303;42;"Chenaie"
5;10;25,2121950940388;24,8999996185303;41;"Chenaie"
5;7;28,3560975237591;28;41;"Chenaie"
37;5;32,9804873582793;33,2999992370605;41;"Frenaie"
37;2;28,9707314095846;28,3999996185303;41;"Chenaie"
37;4;28,1780488549209;26,8999996185303;41;"Chenaie"
37;1;27,7195126138082;29,1000003814697;41;"Chenaie"
37;3;28,7439025320658;28,7000007629395;41;"Chenaie"
10;2;27,3428571791876;27,5;42;"Chenaie"
10;3;27,1976183936709;27,2999992370605;42;"Chenaie"
10;9;27,159523827689;27,5;42;"Chenaie"
10;4;27,4238097327096;26,7000007629395;42;NA
10;10;25,3999998247301;25;37;"Erabliere"
10;6;25,3857147125971;25,2000007629395;42;"Chenaie"
10;5;25,0785713195801;24,2999992370605;42;"Chenaie"
10;8;25,6285716465541;25,6000003814697;42;"Chenaie"
10;1;26,9214285895938;27,2000007629395;42;"Autres feuillus nobles"
10;7;26,5071427935646;26,4500007629395;42;NA
52;1;25,0000001467191;24,5;39;"Autres peuplements feuillus"
52;2;26,2674999237061;26,7000007629395;40;"Hetraie"
51;1;25,233333269755;24,5;42;"Autres peuplements feuillus"
51;2;28,9549993515015;29,2999992370605;40;"Frenaie"
46;1;26,6658534073248;26,5;41;"Chenaie"
46;2;27,2880952017648;27,6000003814697;42;"Chenaie"
46;3;24,9615382170066;25,3999996185303;39;"Chenaie"
46;4;27,7585363620665;27,8999996185303;41;"Chenaie"
46;5;27,4926827593548;27,2999992370605;41;"Chenaie"
46;6;27,3073166172679;26,8999996185303;41;"Chenaie"
46;7;27,3634142526766;27,1000003814697;41;"Hetraie"
46;8;28,6574995517731;28,8999996185303;40;"Hetraie"
46;9;28,0571428026472;27,5;42;"Hetraie"
46;10;27,1735295688405;27;34;"Chenaie"
48;1;27,6166664759318;27,7999992370605;42;"Chenaie"
48;2;25,7952381769816;25,6000003814697;42;"Chenaie"
49;1;26,1875001907349;25,7000007629395;40;"Erabliere"
49;2;26,6394736139398;26,6000003814697;38;"Chenaie"
