"IGN";"NPL";"cdom";"essmaj_mature_40_code";"typologie_mature_simplifiee";"fa_mask";"hdom_mean_m";"hdom_median_m";"n_pix_hdom"
3078;37;224,9545108008;"3-100%";"Hetraie";1;36,53125;36,6000003814697;16
3178;180;239;"3-100%";"Hetraie";1;41,3375010490417;41,9000015258789;16
3178;218;238;"1-75%;5-13%";"Chenaie";1;32,9937493801117;32,5999994277954;16
3178;219;332;"3-58%;1-42%";"Hetraie";1;31,7944441901313;31,7000007629395;18
3256;75;253,8540754859;"3-100%";"Hetraie";1;33,8818192915483;33,9000015258789;11
3256;280;269;"3-100%";"Hetraie";1;25,7444442113241;28,8999996185303;18
3556;176;214;"4-66%;11-34%";"Erabliere";1;29,3562505245209;29,9500007629395;16
3734;18;277;"3-74%;4-26%";"Hetraie";1;31,0687503814697;30,7000007629395;16
3734;151;238,5258238481;"5-81%;24-19%";"Frenaie";1;33,6714297703334;33,9000015258789;14
3734;231;232,9723813472;"5-50%;24-25%";"Frenaie";1;35,6374988555908;37,1999988555908;16
3778;41;162,9648758406;"1-100%";"Chenaie";1;25,8375000953674;27,1000003814697;16
3778;62;33;"11-100%";"Autres peuplements feuillus";1;19,3722229003906;16,9500007629395;18
3778;63;163,7190067248;"24-47%;3-29%";"Autres peuplements feuillus";1;20,2812494039536;18,7999992370605;16
3778;153;251,9989614571;"3-55%;1-45%";"Hetraie";1;28,8624999523163;29,2000007629395;16
3778;154;207,2623926526;"1-100%";"Chenaie";1;27,4470589581658;27,5;17
3778;183;272,1069342768;"3-69%;2-31%";"Hetraie";1;29,4187498092651;28,6000003814697;16
3778;221;291;"3-100%";"Hetraie";1;35,5800003051758;36,2000007629395;15
3778;300;81;"5-100%";"Frenaie";1;20,6272726925937;20,5;11
3812;4;277;"3-100%";"Hetraie";1;34,9437510967255;35,9000015258789;16
3812;6;329;"3-100%";"Hetraie";1;38,0249993801117;38,7999992370605;16
3812;39;195,6268087156;"5-67%;3-33%";"Frenaie";1;26,8111112382677;28,7000007629395;18
3812;49;251,7794778774;"5-99%;3-1%";"Frenaie";1;34,3499986860487;34,5999984741211;18
3812;51;278;"3-82%;1-18%";"Hetraie";1;30,5333335664537;30,5;18
3812;58;268,4906996887;"3-68%;15-31%";"Hetraie";1;25,5999996185303;22,8999996185303;10
3834;25;286,049227377;"3-50%;44-18%";"Hetraie";1;30,777778201633;31,2000007629395;18
3834;31;256,9824379203;"3-81%;1-19%";"Hetraie";1;33,2437512874603;32,9000015258789;16
3834;51;240,939247315;"3-100%";"Hetraie";1;32,9749994277954;33,0499992370605;16
3834;180;252,659784964;"3-75%;1-24%";"Hetraie";1;32,943751335144;33,4000015258789;16
3834;200;225,9525574012;"3-79%;1-21%";"Hetraie";1;33,6374998092651;33,7999992370605;16
3856;1;185,9351446604;"1-76%;3-24%";"Chenaie";1;34,8722220526801;34;18
3878;67;73;"3-100%";"Hetraie";1;13,9750002622604;13,5;16
3878;122;287,4806087376;"5-40%;1-36%";"Autres feuillus nobles";1;31,8062502145767;30,8500003814697;16
3878;141;281,8972077026;"3-100%";"Hetraie";1;35,3187510967255;35,9000015258789;16
3878;142;203,9946841326;"3-100%";"Hetraie";1;33,2499993642171;31,7999992370605;18
3878;143;304;"3-100%";"Hetraie";1;36,2666656494141;37,0999984741211;15
3878;166;255,897389387;"1-68%;11-31%";"Chenaie";1;28,2733327229818;29,7999992370605;15
3912;231;311,3278466016;"3-60%;2-40%";"Hetraie";1;36,1437487602234;36,0999984741211;16
3912;237;133,9121896015;"15-73%;1-27%";"Autres peuplements feuillus";1;23,1312501430511;23,7000007629395;16
3934;25;327,7004061022;"3-99%;5-1%";"Hetraie";1;37,7722212473551;36,7999992370605;18
3934;33;196,8268695792;"15-74%;5-26%";"Autres peuplements feuillus";1;28,8062504529953;30,6000003814697;16
3934;84;188,8540754859;"15-29%;7-28%";"Autres peuplements feuillus";1;29,6374999284744;30,5;16
3934;161;264,5620818768;"3-100%";"Hetraie";1;44,2095237005325;45;21
3934;162;233,9687169144;"3-100%";"Hetraie";1;34,387499332428;31,7999992370605;16
3934;163;329,770654421;"3-61%;1-39%";"Hetraie";1;35,2947367617958;36,7999992370605;19
3934;181;366,2714104304;"3-100%";"Hetraie";1;39,2562501430511;38,5;16
3934;210;181;"1-43%;3-32%";"Autres feuillus nobles";1;28,9875004291534;29,1000003814697;16
3934;280;248;"3-63%;5-37%";"Hetraie";1;34,1000002906436;33,7000007629395;21
3956;33;265,5082617684;"24-69%;5-31%";"Autres peuplements feuillus";1;37,7562487125397;38,0999984741211;16
3956;111;232,898158576;"3-78%;1-22%";"Hetraie";1;31,1428572790963;31,6999998092651;14
3956;112;201,9130219022;"3-73%;1-27%";"Hetraie";1;32,3333324856228;32,5999984741211;18
3956;126;297,7892201463;"3-79%;1-21%";"Hetraie";1;31,5555560853746;29,7000007629395;18
3956;128;144,8757160624;"3-100%";"Hetraie";1;35,1062502861023;36,4000015258789;16
3956;144;71;"14-99%;11-1%";"Autres peuplements feuillus";1;22,4333326551649;22,2999992370605;18
3956;145;137,9648758406;"3-50%;11-50%";"Hetraie";1;24,6937502622604;24,8999996185303;16
3956;164;152,8676061488;"1-32%;13-28%";"Autres peuplements feuillus";1;30,8374992609024;30,3999996185303;16
3956;272;156,9513584953;"3-100%";"Hetraie";1;29,3999995277041;28,7999992370605;21
3978;18;236,8895253888;"5-77%;44-23%";"Frenaie";1;31,949999332428;31,8999996185303;16
3978;243;275,866344093;"3-100%";"Hetraie";1;34,223808833531;33,2000007629395;21
3978;290;227,343871002;"3-53%;24-30%";"Hetraie";1;32,0111116833157;31,2000007629395;18
3978;292;205,7365688045;"3-100%";"Hetraie";1;32,4249992370605;32,1999988555908;16
4012;3;327,626989319;"1-48%;15-39%";"Autres peuplements feuillus";1;29,2421051828485;30,5;19
4012;64;268,4555755293;"3-100%";"Hetraie";1;30,199999915229;30,5;18
4012;74;215;"1-100%";"Chenaie";1;32,7142852601551;31,6000003814697;21
4012;93;198,9473137609;"1-77%;4-22%";"Chenaie";1;31,5777776506212;31,6000003814697;18
4012;132;254;"3-100%";"Hetraie";1;31,3187508583069;27,2000007629395;16
4012;171;142,5291825592;"1-75%;13-25%";"Chenaie";1;26,9499996900558;27,3999996185303;16
4034;132;190;"7-50%;15-28%";"Autres feuillus nobles";1;29,1375000476837;29,0500001907349;16
4056;11;251;"1-64%;4-19%";"Chenaie";1;31,8055555555556;31,1000003814697;18
4056;288;176,5589557548;"3-60%;16-22%";"Hetraie";1;29,8749997615814;30,25;16
4056;289;131,9287110032;"1-100%";"Chenaie";1;31,0555544959174;32,0999984741211;18
4156;254;267;"1-86%;4-12%";"Chenaie";1;29,5062501430511;30,5;16
4156;260;55;"3-100%";"Hetraie";1;16,8374997377396;16,5;16
4156;292;165;"1-69%;4-28%";"Chenaie";1;28,1421054036994;29;19
4178;154;242,5028642496;"1-77%;15-12%";"Chenaie";1;26,2999999636695;24,2999992370605;21
4178;157;181,7243648067;"1-100%";"Chenaie";1;21,287500500679;22,7000007629395;16
4178;235;142;"26-100%";"Autres peuplements feuillus";1;21,7374995946884;21,2999992370605;16
4178;258;241;"1-48%;15-22%";"Autres peuplements feuillus";1;25,212500333786;24,7000007629395;16
4178;267;121;"26-100%";"Autres peuplements feuillus";1;23,4187495708466;25,2999992370605;16
