"id_ogf","parcelle","surf_ha","date","n_ue","description","gha_moy","gha_se","vol_vivant","vol_vivant_se","bm_sur_pied","bm_sur_pied_se","bm_sol","bm_sol_se","bm_total","bm_total_se"
5,"RND plateau des sources",27.2355937073101,"2025-06-13 14:20:41",10,"hêtraie-chênaie sur sol hydromorphes.
Plus d'exploitation depuis quelques décennies. Récemment classée en RND.",37.6684385018227,NA,367.913448767898,NA,19.2446374864255,NA,43.2936598055675,NA,62.538297291993,NA
10,"3.508.02 cpt 310",20.985061666959,"2025-06-18 09:56:29",10,"inventaire total en 2001 
894 ch 108 fr 80he 702 er 480bo 152 pe 346 div 319 ca 154mz 44mr de 40  de circ à 295 + présence important de houx, néflier et divers autres arbustes...
dernière exploitation éclaircie en 1991

mais passage en éclaircie prévu cet hiver 2025!!!
néanmoins zone 70 sur versant et fond de vallée.",36.1281604352056,NA,366.646245587342,NA,11.4529818453808,NA,31.0968279184068,NA,42.5498097637876,NA
14,"FD Arrentement Compartiment 11 et 21",54.3740854792865,"2025-06-18 10:48:20",11,"Forêt domaniale en indivision avec des privés, pas d'exploitation depuis au moins 25 ans, à l'exception des grumes dans une bande de chablis dus à une ""tornade"".
Hêtre et chênes principalement, érables frênes, merisier, ...",30.6067685445956,NA,336.858100310052,NA,27.6645547814492,NA,48.8269145584865,NA,76.4914693399357,NA
15,"FD Grihire, compartiment 1",9.026093711087,"2025-06-18 10:52:43",4,"Hêtrée  chênée avec frênes, érables, merisiers, sans exploitation durant 20 ans.
Exploitations récentes: coupe des épicéas de bordure et scolytés, récolte de frênes chalarosés, bois de chauffage dans le taillis.
Restée longtemps sans intervention, le nouveau chef de cantonnement y autorise actuellement des coupes.",34.9727171109261,NA,367.053776113068,NA,3.62667654972281,NA,12.0285352035499,NA,15.6552117532727,NA
20,"RND du Colébi",8.65612462779069,"2025-06-23 14:49:35",4,"Pas exploitation connue. 
Présence d'un gouffre, érablière de ravin, grottes, beaucoup de frênes chablis et mort.",34.0863889484348,NA,310.622112092584,NA,3.52487718218602,NA,79.9009584352819,NA,83.4258356174679,NA
31,"Compartiment 43 parcelle 70",7.95895280329646,"2025-07-07 09:12:02",7,"Peuplement mélangé de frêne, érable et chêne pédonculé.
Quelques hêtres et très vieux peupliers. 
Inscrit en parcelle 70 en 2009 mais dernière exploitation en 2000.",27.9430998510337,NA,252.939450090336,NA,3.16132827572251,NA,47.2688452819046,NA,50.4301735576271,NA
37,"",9.07785736046042,"2025-08-20 11:04:38",5,"Chênes sessiles âgés et surâgés en forte pente, inexploités depuis plus de 50 ans",29.0777568307041,NA,306.424384002478,NA,24.0742046902612,NA,50.0918713929318,NA,74.166076083193,NA
44,"Propriété Vivaqua - Comp 213",22.757690137478,"2025-11-18 16:42:19",7,"Boisement situé dans l'enceinte du chateau non exploitée depuis longtemps et mis en RNA Natagora.

Contour approximatif. je n'y suis plus allé depuis longtemps",28.0842275723624,NA,276.104118132259,NA,23.2619715995169,NA,67.7917824681133,NA,91.0537540676302,NA
46,"",36.8834914745912,"2025-11-26 16:22:06",10,"",34.9282683832774,NA,355.17967745599,NA,13.497318921293,NA,24.1319170556344,NA,37.6292359769274,NA
48,"Lesse - daverdisse",3.33962901374372,"2025-11-26 16:47:12",2,"Chênaie / érablière sur versant très pentu, rocheux
A associer avec un second lieu renseigné Lesse - Daverdisse - 2
DNF Libin, triage de Daverdisse, agent Philippe Gilles",54.144555119878,NA,491.683796100585,NA,33.1614341366891,NA,56.8502609097339,NA,90.011695046423,NA
49,"Lesse - Daverdisse - 2",1.57217018334493,"2025-11-26 16:49:03",2,"Erablière sur forte pente partiellement rocheuse
à associer avec l'autre site : Lesse - Daverdisse",36.4051484718667,NA,336.426266282192,NA,1.09047847943299,NA,66.8695167165666,NA,67.9599951959996,NA
51,"Bois des Golettes",3.53601084887217,"2025-12-02 07:02:17",2,"Erablière de ravin + chênaie dépérissante sur le dessus",24.3089533618935,NA,218.509041162409,NA,10.7248689674567,NA,23.1717384865274,NA,33.8966074539841,NA
52,"Bois des Golettes (ouest)",3.0374934668852,"2025-12-02 07:03:53",2,"Forêt de pente à jonquilles",27.884326193271,NA,285.875731686164,NA,4.28213225894081,NA,40.1946224685662,NA,44.476754727507,NA
53,"Compartiment 5 îlot de conservation ",5.8469535059488,"2025-12-03 10:27:19",4,"Querco-fegetum  avec un plateau sableux coloniser par le bouleau. pas de coupe de puis 30 ans minimum. dernière coupe dans les années 70-80 avant l'achat de la surface. ",31.4493370573028,NA,329.069096136195,NA,7.59234324828221,NA,97.8151290076557,NA,105.407472255938,NA
